Date,Product_ID,Inventory
2019-01-01,PROD001,266
2019-01-01,PROD002,128
2019-01-01,PROD003,955
2019-01-01,PROD004,377
2019-01-01,PROD005,486
2019-01-01,PROD006,548
2019-01-01,PROD007,120
2019-01-01,PROD008,129
2019-01-01,PROD009,788
2019-01-01,PROD010,825
2019-01-01,PROD011,845
2019-01-01,PROD012,730
2019-01-01,PROD013,692
2019-01-01,PROD014,947
2019-01-01,PROD015,902
2019-01-01,PROD016,250
2019-01-01,PROD017,227
2019-01-01,PROD018,155
2019-01-01,PROD019,413
2019-01-01,PROD020,719
2019-01-01,PROD021,387
2019-01-01,PROD022,995
2019-01-01,PROD023,394
2019-01-01,PROD024,196
2019-01-01,PROD025,829
2019-01-01,PROD026,765
2019-01-01,PROD027,73
2019-01-01,PROD028,273
2019-01-01,PROD029,893
2019-01-01,PROD030,707
2019-01-01,PROD031,582
2019-01-01,PROD032,461
2019-01-01,PROD033,455
2019-01-01,PROD034,138
2019-01-01,PROD035,518
2019-01-01,PROD036,223
2019-01-01,PROD037,476
2019-01-01,PROD038,677
2019-01-01,PROD039,325
2019-01-01,PROD040,214
2019-01-02,PROD001,307
2019-01-02,PROD002,800
2019-01-02,PROD003,350
2019-01-02,PROD004,661
2019-01-02,PROD005,974
2019-01-02,PROD006,803
2019-01-02,PROD007,839
2019-01-02,PROD008,788
2019-01-02,PROD009,153
2019-01-02,PROD010,233
2019-01-02,PROD011,883
2019-01-02,PROD012,422
2019-01-02,PROD013,887
2019-01-02,PROD014,65
2019-01-02,PROD015,643
2019-01-02,PROD016,585
2019-01-02,PROD017,318
2019-01-02,PROD018,441
2019-01-02,PROD019,116
2019-01-02,PROD020,740
2019-01-02,PROD021,184
2019-01-02,PROD022,138
2019-01-02,PROD023,670
2019-01-02,PROD024,993
2019-01-02,PROD025,355
2019-01-02,PROD026,724
2019-01-02,PROD027,388
2019-01-02,PROD028,771
2019-01-02,PROD029,374
2019-01-02,PROD030,942
2019-01-02,PROD031,651
2019-01-02,PROD032,990
2019-01-02,PROD033,63
2019-01-02,PROD034,859
2019-01-02,PROD035,357
2019-01-02,PROD036,938
2019-01-02,PROD037,994
2019-01-02,PROD038,912
2019-01-02,PROD039,240
2019-01-02,PROD040,315
2019-01-03,PROD001,111
2019-01-03,PROD002,186
2019-01-03,PROD003,423
2019-01-03,PROD004,438
2019-01-03,PROD005,185
2019-01-03,PROD006,976
2019-01-03,PROD007,122
2019-01-03,PROD008,117
2019-01-03,PROD009,738
2019-01-03,PROD010,128
2019-01-03,PROD011,342
2019-01-03,PROD012,535
2019-01-03,PROD013,687
2019-01-03,PROD014,75
2019-01-03,PROD015,295
2019-01-03,PROD016,951
2019-01-03,PROD017,550
2019-01-03,PROD018,632
2019-01-03,PROD019,418
2019-01-03,PROD020,324
2019-01-03,PROD021,983
2019-01-03,PROD022,636
2019-01-03,PROD023,934
2019-01-03,PROD024,456
2019-01-03,PROD025,93
2019-01-03,PROD026,815
2019-01-03,PROD027,350
2019-01-03,PROD028,835
2019-01-03,PROD029,160
2019-01-03,PROD030,414
2019-01-03,PROD031,677
2019-01-03,PROD032,724
2019-01-03,PROD033,798
2019-01-03,PROD034,995
2019-01-03,PROD035,764
2019-01-03,PROD036,881
2019-01-03,PROD037,962
2019-01-03,PROD038,525
2019-01-03,PROD039,158
2019-01-03,PROD040,375
2019-01-04,PROD001,472
2019-01-04,PROD002,498
2019-01-04,PROD003,882
2019-01-04,PROD004,159
2019-01-04,PROD005,457
2019-01-04,PROD006,370
2019-01-04,PROD007,166
2019-01-04,PROD008,556
2019-01-04,PROD009,380
2019-01-04,PROD010,324
2019-01-04,PROD011,507
2019-01-04,PROD012,443
2019-01-04,PROD013,226
2019-01-04,PROD014,674
2019-01-04,PROD015,657
2019-01-04,PROD016,54
2019-01-04,PROD017,712
2019-01-04,PROD018,570
2019-01-04,PROD019,527
2019-01-04,PROD020,104
2019-01-04,PROD021,271
2019-01-04,PROD022,482
2019-01-04,PROD023,758
2019-01-04,PROD024,187
2019-01-04,PROD025,193
2019-01-04,PROD026,972
2019-01-04,PROD027,334
2019-01-04,PROD028,79
2019-01-04,PROD029,519
2019-01-04,PROD030,922
2019-01-04,PROD031,924
2019-01-04,PROD032,680
2019-01-04,PROD033,595
2019-01-04,PROD034,458
2019-01-04,PROD035,886
2019-01-04,PROD036,369
2019-01-04,PROD037,609
2019-01-04,PROD038,353
2019-01-04,PROD039,92
2019-01-04,PROD040,184
2019-01-05,PROD001,221
2019-01-05,PROD002,542
2019-01-05,PROD003,320
2019-01-05,PROD004,578
2019-01-05,PROD005,198
2019-01-05,PROD006,761
2019-01-05,PROD007,684
2019-01-05,PROD008,885
2019-01-05,PROD009,604
2019-01-05,PROD010,102
2019-01-05,PROD011,699
2019-01-05,PROD012,336
2019-01-05,PROD013,614
2019-01-05,PROD014,604
2019-01-05,PROD015,359
2019-01-05,PROD016,886
2019-01-05,PROD017,516
2019-01-05,PROD018,399
2019-01-05,PROD019,862
2019-01-05,PROD020,674
2019-01-05,PROD021,698
2019-01-05,PROD022,423
2019-01-05,PROD023,202
2019-01-05,PROD024,460
2019-01-05,PROD025,758
2019-01-05,PROD026,882
2019-01-05,PROD027,367
2019-01-05,PROD028,225
2019-01-05,PROD029,419
2019-01-05,PROD030,988
2019-01-05,PROD031,873
2019-01-05,PROD032,320
2019-01-05,PROD033,347
2019-01-05,PROD034,977
2019-01-05,PROD035,489
2019-01-05,PROD036,237
2019-01-05,PROD037,521
2019-01-05,PROD038,529
2019-01-05,PROD039,455
2019-01-05,PROD040,150
2019-01-06,PROD001,879
2019-01-06,PROD002,169
2019-01-06,PROD003,933
2019-01-06,PROD004,717
2019-01-06,PROD005,190
2019-01-06,PROD006,720
2019-01-06,PROD007,109
2019-01-06,PROD008,198
2019-01-06,PROD009,111
2019-01-06,PROD010,217
2019-01-06,PROD011,906
2019-01-06,PROD012,823
2019-01-06,PROD013,50
2019-01-06,PROD014,626
2019-01-06,PROD015,243
2019-01-06,PROD016,867
2019-01-06,PROD017,478
2019-01-06,PROD018,710
2019-01-06,PROD019,272
2019-01-06,PROD020,888
2019-01-06,PROD021,177
2019-01-06,PROD022,937
2019-01-06,PROD023,721
2019-01-06,PROD024,430
2019-01-06,PROD025,375
2019-01-06,PROD026,788
2019-01-06,PROD027,775
2019-01-06,PROD028,701
2019-01-06,PROD029,472
2019-01-06,PROD030,720
2019-01-06,PROD031,647
2019-01-06,PROD032,806
2019-01-06,PROD033,911
2019-01-06,PROD034,349
2019-01-06,PROD035,782
2019-01-06,PROD036,334
2019-01-06,PROD037,921
2019-01-06,PROD038,645
